City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
353,Bafq,IR,86.68,clear sky,31.6128,55.4107,Alamdar Hotel
355,Lingao,CN,81.09,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
356,Semnan,IR,85.82,clear sky,35.5729,53.3971,Semnan Tourist Hotel
364,La Ronge,CA,84.42,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
365,Thunder Bay,CA,87.78,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
367,Hobyo,SO,76.01,broken clouds,5.3505,48.5268,Iftin hotel hobyo
369,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
371,Teknaf,BD,80.62,overcast clouds,20.8624,92.3058,Forestry Guesthouse
375,Porto Novo,BJ,76.82,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
377,Lorengau,PG,80.53,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
378,Tautira,PF,75.45,light rain,-17.7333,-149.15,Pension Oaoa
379,Namatanai,PG,79.52,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
384,Nantucket,US,75.99,mist,41.2835,-70.0995,Jared Coffin House
385,Lianzhou,CN,77.68,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
387,Frontignan,FR,78.98,clear sky,43.4485,3.754,Vila
391,Bushehr,IR,87.89,haze,28.9684,50.8385,Yas Hotel
392,Manta,EC,76.78,scattered clouds,-0.95,-80.7333,Balandra Hotel
395,Carbonia,IT,80.01,clear sky,39.1672,8.5222,Lu 'Hotel
401,Zaltan,LY,79.56,clear sky,32.947,11.8665,Fars Alfelale
404,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
408,Aden,YE,82.78,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
413,Tukrah,LY,79.41,clear sky,32.5341,20.5791,Lagrota restaurant
417,Conakry,GN,78.87,light rain,9.538,-13.6773,Riviera Royal Hotel
419,Vanderhoof,CA,76.89,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
420,Great Falls,US,85.39,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
429,Palmas,BR,87.67,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
431,High Level,CA,80.71,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
434,San Nicolas,PH,76.91,few clouds,18.1725,120.5953,NORTHVIEW Hotel
437,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
439,Sur,OM,84.7,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
442,Niamey,NE,75.49,few clouds,13.5137,2.1098,Soluxe Hotel Niamey
443,Portoferraio,IT,86.16,clear sky,42.8115,10.3146,Hotel Villa Ombrosa
444,Caramay,PH,78.15,moderate rain,10.1815,119.236,Peace and Love Beach Club
446,Tshikapa,CD,77.32,scattered clouds,-6.4167,20.8,Tatem beach
448,Monrovia,LR,76.39,light rain,6.3005,-10.7969,Sunset Inn
449,Tateyama,JP,79.11,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
450,Shimoda,JP,78.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
454,Feijo,BR,81.5,broken clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
455,Qena,EG,88.61,few clouds,26.1615,32.7183,"Grand hotel ""Quena"""
456,Swift Current,CA,81.41,scattered clouds,50.2834,-107.8014,"Motel 6 Swift Current, SK"
457,Basco,PH,84.88,broken clouds,20.4487,121.9702,Nathaniel's Lodge
461,Hazorasp,UZ,78.64,clear sky,41.3194,61.0742,Kemping wifi hotel
462,Kismayo,SO,75.56,light rain,-0.3582,42.5454,Agan-Hotel
466,Irbil,IQ,87.62,clear sky,36.1926,44.0106,Erbil International Hotel
472,Touros,BR,77.0,light rain,-5.1989,-35.4608,INN NEW HORIZON
473,Matagami,CA,84.31,scattered clouds,49.7502,-77.6328,Motel Le Caribou
475,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
