City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
125,Saint-Philippe,RE,-21.3585,55.7679,67.59,80,67,19.42,light rain
126,Broken Hill,AU,-31.95,141.4333,38.44,71,5,6.82,clear sky
127,Samagaltay,RU,50.6022,95.0047,51.39,89,100,5.55,overcast clouds
128,East London,ZA,-33.0153,27.9116,68.9,36,7,8.19,clear sky
129,Luena,AO,-11.7833,19.9167,52.86,53,9,3.8,clear sky
130,Biak,ID,-0.9131,122.8766,73.36,90,100,5.37,overcast clouds
131,Leh,IN,34.1667,77.5833,66.52,37,54,3.53,broken clouds
132,Laguna,US,38.421,-121.4238,104.31,19,0,8.05,clear sky
133,Buala,SB,-8.145,159.5921,81.61,73,31,5.37,scattered clouds
134,Baykit,RU,61.67,96.37,56.03,98,100,4.05,light rain
135,Acapulco,MX,16.8634,-99.8901,85.82,74,100,9.22,overcast clouds
136,Barmer,IN,25.75,71.3833,86.2,66,100,8.86,overcast clouds
137,Ixtapa,MX,20.7,-105.2,90.23,55,20,12.66,few clouds
138,Cape Town,ZA,-33.9258,18.4232,56.91,80,0,7.0,clear sky
139,Kieta,PG,-6.2167,155.6333,79.36,79,45,3.2,scattered clouds
140,Qaqortoq,GL,60.7167,-46.0333,47.39,79,100,4.27,overcast clouds
141,Tianpeng,CN,30.9866,103.9393,73.87,88,100,5.08,moderate rain
142,Clinton,US,42.587,-82.9199,91.44,46,20,3.44,few clouds
143,Mecca,SA,21.4267,39.8261,89.19,23,35,4.94,scattered clouds
144,Chokurdakh,RU,70.6333,147.9167,42.67,71,75,12.71,broken clouds
145,Arlit,NE,18.7369,7.3853,91.71,31,85,7.65,light rain
146,Raudeberg,NO,61.9875,5.1352,54.27,84,97,10.22,overcast clouds
147,Mandiana,GN,10.6333,-8.6833,73.53,93,68,7.0,moderate rain
148,Mahebourg,MU,-20.4081,57.7,69.26,88,40,17.27,scattered clouds
149,Naze,JP,28.3667,129.4833,79.72,88,100,16.78,overcast clouds
150,Atbasar,KZ,51.8,68.3333,67.46,49,83,6.33,broken clouds
151,Anshun,CN,26.25,105.9333,66.88,97,100,0.38,overcast clouds
152,San Quintin,MX,30.4833,-115.95,76.1,61,1,10.71,clear sky
153,Torbay,CA,47.6666,-52.7314,75.76,63,75,14.97,broken clouds
154,Bengkulu,ID,-3.8004,102.2655,75.36,88,3,3.36,clear sky
155,Paamiut,GL,61.994,-49.6678,44.85,82,100,2.08,overcast clouds
156,Krumovgrad,BG,41.4667,25.65,62.28,67,0,3.67,clear sky
157,Boguchany,RU,58.3814,97.4531,51.19,97,36,5.17,scattered clouds
158,Mitsamiouli,KM,-11.3847,43.2844,75.76,74,51,10.8,broken clouds
159,Erice,IT,38.037,12.5865,72.07,73,0,3.44,clear sky
160,Tongliao,CN,43.6125,122.2653,66.99,93,100,6.04,overcast clouds
161,Loughborough,GB,52.7667,-1.2,87.75,37,0,5.75,clear sky
162,Ballater,GB,57.0493,-3.0402,71.46,63,47,4.65,scattered clouds
163,Szczytno,PL,53.5626,20.9875,60.73,100,0,1.14,clear sky
164,Pristen,RU,51.2355,36.6959,55.38,95,0,7.72,clear sky
165,Sangar,RU,63.9242,127.4739,71.38,80,42,6.4,scattered clouds
166,Gigmoto,PH,13.7796,124.39,79.52,87,27,3.42,scattered clouds
167,Sitrah,BH,26.1547,50.6206,96.8,52,60,6.91,broken clouds
168,Avarua,CK,-21.2078,-159.775,73.45,83,75,5.75,light rain
169,Manokwari,ID,-0.8667,134.0833,78.15,75,73,1.45,broken clouds
170,Novopokrovka,UA,49.8425,36.5477,57.78,76,0,6.67,clear sky
171,Brigantine,US,39.4101,-74.3646,86.2,75,0,14.97,clear sky
172,Severo-Kurilsk,RU,50.6789,156.125,55.11,90,95,6.8,overcast clouds
173,Aksarka,RU,66.5606,67.7975,58.59,68,99,6.11,overcast clouds
174,Itoman,JP,26.1247,127.6694,84.58,94,75,11.5,broken clouds
