City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Ponta Delgada,PT,2022-07-13 01:03:01,37.7333,-25.6667,73.51,83,75,10.36
113,Saldanha,ZA,2022-07-13 01:03:01,-33.0117,17.9442,53.49,79,0,4.07
114,Isangel,VU,2022-07-13 01:03:02,-19.55,169.2667,80.22,77,14,9.31
115,Faanui,PF,2022-07-13 01:03:02,-16.4833,-151.75,78.76,66,0,7.81
116,Hanna,CA,2022-07-13 01:01:40,51.6334,-111.9018,84.85,33,98,5.99
117,Lebu,CL,2022-07-13 01:03:03,-37.6167,-73.65,48.06,72,100,6.22
118,Taubate,BR,2022-07-13 01:03:03,-23.0264,-45.5553,65.01,57,100,2.55
119,Barrow,US,2022-07-13 01:03:04,71.2906,-156.7887,37.42,93,100,11.5
120,Baytown,US,2022-07-13 01:03:05,29.7355,-94.9774,90.21,65,97,10.54
121,Palana,RU,2022-07-13 01:03:05,59.1167,159.9667,60.3,81,60,13.69
122,Kavieng,PG,2022-07-13 00:58:14,-2.5744,150.7967,84.67,68,13,9.42
123,Yar-Sale,RU,2022-07-13 01:03:06,66.8333,70.8333,52.12,54,100,6.38
124,Sinnamary,GF,2022-07-13 01:01:14,5.3833,-52.95,78.35,83,88,5.82
125,Qaanaaq,GL,2022-07-13 01:03:06,77.484,-69.3632,40.98,76,99,3.96
126,Luganville,VU,2022-07-13 01:03:07,-15.5333,167.1667,83.62,69,80,9.57
127,Salinopolis,BR,2022-07-13 01:03:07,-0.6136,-47.3561,76.73,88,43,6.93
128,Xining,CN,2022-07-13 01:00:12,36.6167,101.7667,64.65,65,18,0.85
129,Saint-Philippe,RE,2022-07-13 01:03:08,-21.3585,55.7679,67.59,66,79,11.16
130,Ipixuna,BR,2022-07-13 01:03:09,-1.7625,-48.8043,74.71,92,100,2.62
131,Kaitangata,NZ,2022-07-13 01:03:09,-46.2817,169.8464,43.09,95,100,14.25
132,Dunedin,NZ,2022-07-13 01:01:46,-45.8742,170.5036,44.44,95,100,22.39
133,Provideniya,RU,2022-07-13 01:03:10,64.3833,-173.3,51.91,82,0,15.99
134,Laguna,US,2022-07-13 01:03:01,38.421,-121.4238,99.45,29,0,17.27
135,Scarborough,GB,2022-07-13 01:01:53,54.2797,-0.4044,62.91,77,0,8.28
136,Punta Alta,AR,2022-07-13 01:04:11,-38.8759,-62.0736,50.77,46,0,20.71
137,Naples,IT,2022-07-13 01:03:38,40.8333,14.25,78.75,67,0,8.05
138,Nhulunbuy,AU,2022-07-13 01:04:11,-12.2333,136.7667,75.81,53,0,19.57
139,Dutlwe,BW,2022-07-13 01:04:12,-23.9833,23.9,54.16,41,5,9.1
140,Kitimat,CA,2022-07-13 01:04:12,54.0524,-128.6534,55.9,24,100,1.01
141,Koygorodok,RU,2022-07-13 01:04:13,60.445,50.9968,65.62,94,100,3.24
142,Vao,NC,2022-07-13 01:04:13,-22.6667,167.4833,73.53,87,100,14.72
143,Port Lincoln,AU,2022-07-13 01:04:14,-34.7333,135.8667,56.64,61,100,8.5
144,Mamlyutka,KZ,2022-07-13 01:04:15,54.9375,68.5394,61.14,82,62,5.61
145,Khatanga,RU,2022-07-13 01:04:15,71.9667,102.5,38.75,84,100,11.07
146,Chernyshevskiy,RU,2022-07-13 01:04:16,63.0128,112.4714,54.03,54,86,6.06
147,Vardo,NO,2022-07-13 01:04:16,70.3705,31.1107,53.58,87,100,5.75
148,Narsaq,GL,2022-07-13 01:03:14,60.9167,-46.05,46.62,83,26,2.3
149,Nikolayevsk-Na-Amure,RU,2022-07-13 01:04:17,53.1406,140.73,78.28,63,100,4.85
150,Humberto De Campos,BR,2022-07-13 01:04:17,-2.5983,-43.4611,74.68,93,63,3.4
151,Aswan,EG,2022-07-13 01:04:18,24.0934,32.907,86.04,25,53,9.24
152,Miracema Do Tocantins,BR,2022-07-13 01:04:18,-9.5618,-48.3967,75.76,43,9,4.79
153,Port Hedland,AU,2022-07-13 01:04:19,-20.3167,118.5667,68.05,30,10,16.11
154,Katsuura,JP,2022-07-13 01:04:20,35.1333,140.3,76.37,91,80,6.6
155,Asyut,EG,2022-07-13 01:04:20,27.181,31.1837,80.74,47,2,17.74
156,Hasaki,JP,2022-07-13 01:04:20,35.7333,140.8333,77.4,90,100,6.33
157,Gizo,SB,2022-07-13 01:04:21,-8.103,156.8419,83.7,70,100,3.49
158,Atherton,GB,2022-07-13 01:04:22,53.5237,-2.4935,66.34,85,100,5.99
159,Yerkoy,TR,2022-07-13 01:04:22,39.6381,34.4672,61.36,83,0,3.42
160,Champerico,GT,2022-07-13 01:04:23,14.3,-91.9167,80.74,76,94,6.8
161,Lompoc,US,2022-07-13 01:01:26,34.6391,-120.4579,82.02,76,6,8.99
162,Tuy Hoa,VN,2022-07-13 01:04:24,13.0833,109.3,81.12,82,93,10.36
163,Souillac,MU,2022-07-13 01:04:24,-20.5167,57.5167,69.37,63,52,12.44
164,Kirkenaer,NO,2022-07-13 01:04:25,60.4564,12.0582,54.19,99,19,4.03
165,Arlit,NE,2022-07-13 01:04:25,18.7369,7.3853,91.6,26,21,5.32
166,Abbeville,FR,2022-07-13 01:04:26,50.1,1.8333,70.5,41,100,7.05
167,Faya,SA,2022-07-13 01:04:26,18.3851,42.4509,63.12,33,100,7.92
168,Tilichiki,RU,2022-07-13 01:04:27,60.4667,166.1,66.51,68,6,6.67
169,Malpur,IN,2022-07-13 01:04:27,23.35,73.45,78.58,90,100,10.18
170,Chulman,RU,2022-07-13 01:04:28,56.8479,124.9104,61.23,87,100,3.38
171,Sao Joao Da Barra,BR,2022-07-13 01:04:28,-21.6403,-41.0511,72.23,85,86,18.43
172,Nome,US,2022-07-13 01:04:29,64.5011,-165.4064,64.17,71,0,11.5
173,Zaraza,VE,2022-07-13 01:04:29,9.3503,-65.3245,74.37,88,88,4.36
174,Bathsheba,BB,2022-07-13 01:01:08,13.2167,-59.5167,81.05,87,100,18.23
175,Mahebourg,MU,2022-07-13 01:01:28,-20.4081,57.7,69.26,66,76,13.11
176,Warrnambool,AU,2022-07-13 01:04:30,-38.3833,142.4833,55.81,64,64,14.14
177,San Francisco,US,2022-07-13 00:59:46,37.7749,-122.4194,80.46,83,19,17.0
178,Kerema,PG,2022-07-13 01:05:31,-7.9631,145.7785,81.37,78,94,4.81
179,Oxapampa,PE,2022-07-13 01:05:31,-10.5775,-75.4017,57.9,98,59,2.26
180,Qazigund,IN,2022-07-13 01:05:32,33.6333,75.15,66.9,83,30,1.45
181,Qujing,CN,2022-07-13 01:05:32,25.4833,103.7833,69.21,84,34,6.91
182,North Platte,US,2022-07-13 01:03:24,41.1239,-100.7654,85.06,44,0,13.0
183,Musoma,TZ,2022-07-13 01:05:33,-1.5,33.8,64.36,67,66,9.51
184,Tasiilaq,GL,2022-07-13 01:05:33,65.6145,-37.6368,44.76,81,98,5.39
185,Nikolskoye,RU,2022-07-13 01:05:34,59.7035,30.7861,63.81,98,19,4.76
186,Caluquembe,AO,2022-07-13 01:05:35,-13.7833,14.6833,53.83,40,0,2.13
187,Hamilton,US,2022-07-13 01:05:35,39.1834,-84.5333,81.45,60,20,11.5
188,Chicama,PE,2022-07-13 01:05:36,-7.8447,-79.1469,59.54,80,16,6.06
189,Vanimo,PG,2022-07-13 01:01:19,-2.6741,141.3028,86.88,59,48,0.78
190,Nalut,LY,2022-07-13 01:05:36,30.3333,10.85,79.83,31,0,10.69
191,Paamiut,GL,2022-07-13 01:03:14,61.994,-49.6678,41.27,94,82,12.01
192,Lata,PT,2022-07-13 01:05:37,40.1629,-8.3327,76.08,29,100,2.98
193,Les Cayes,HT,2022-07-13 01:05:37,18.2,-73.75,78.87,83,0,4.52
194,Sendai,JP,2022-07-13 01:05:38,38.2689,140.8719,71.08,100,75,14.97
195,Lianran,CN,2022-07-13 01:05:38,24.9227,102.485,72.21,72,0,2.57
196,Hastings,GB,2022-07-13 01:05:39,50.8552,0.5729,70.9,70,92,7.92
197,Kribi,CM,2022-07-13 01:05:39,2.95,9.9167,74.93,89,100,6.82
198,Kuusamo,FI,2022-07-13 01:05:40,65.9667,29.1833,59.04,100,20,4.61
199,Quatre Cocos,MU,2022-07-13 01:04:26,-20.2078,57.7625,69.1,66,79,13.91
200,Miles City,US,2022-07-13 01:05:39,46.4083,-105.8406,86.97,26,0,9.22
201,Tahta,EG,2022-07-13 01:05:41,26.7693,31.5021,82.98,34,8,15.9
202,Prieska,ZA,2022-07-13 01:05:41,-29.6641,22.7474,49.64,38,0,2.3
203,Bud,US,2022-07-13 01:05:42,39.447,-86.1758,80.62,59,0,7.07
204,Opuwo,NA,2022-07-13 01:05:42,-18.0607,13.84,59.29,38,0,6.53
205,Awbari,LY,2022-07-13 01:05:43,26.5921,12.7805,81.01,27,0,16.08
206,Grindavik,IS,2022-07-13 01:05:43,63.8424,-22.4338,43.27,87,40,6.91
207,Harrisonburg,US,2022-07-13 01:05:44,38.4496,-78.8689,78.8,92,100,0.0
208,Cooma,AU,2022-07-13 01:05:44,-36.2333,149.1333,39.22,84,100,7.83
209,Wanning,CN,2022-07-13 01:05:45,18.8003,110.3967,82.94,87,100,7.67
210,Arman,RU,2022-07-13 01:05:45,59.7,150.1667,77.02,81,54,6.64
211,Pangai,TO,2022-07-13 01:05:46,-19.8,-174.35,78.15,77,3,15.7
212,Rypefjord,NO,2022-07-13 01:05:46,70.6333,23.6667,68.47,56,44,4.61
213,Necochea,AR,2022-07-13 01:05:47,-38.5473,-58.7368,46.11,52,72,16.11
214,Sangin,AF,2022-07-13 01:05:47,32.0728,64.8359,83.66,13,0,7.61
215,Melo,UY,2022-07-13 01:05:48,-32.3667,-54.1833,39.96,89,1,4.81
216,Tessalit,ML,2022-07-13 01:05:48,20.1986,1.0114,89.35,29,0,7.74
217,East London,ZA,2022-07-13 01:05:49,-33.0153,27.9116,57.56,55,0,6.2
218,Clyde River,CA,2022-07-13 01:05:49,70.4692,-68.5914,38.82,86,46,5.48
219,Araguacu,BR,2022-07-13 01:05:50,-12.9306,-49.8264,73.51,39,6,4.56
220,Vryburg,ZA,2022-07-13 01:05:50,-26.9566,24.7284,48.94,40,0,4.32
221,Pringsewu,ID,2022-07-13 01:05:51,-5.3582,104.9744,76.44,90,100,0.72
222,Kamenka,RU,2022-07-13 01:05:51,51.3223,42.7678,63.01,63,77,4.09
223,San Carlos De Bariloche,AR,2022-07-13 01:05:52,-41.1456,-71.3082,31.75,74,40,8.05
224,Yulara,AU,2022-07-13 01:05:52,-25.2406,130.9889,53.04,48,0,13.76
225,Victoria,HK,2022-07-13 01:01:16,22.2855,114.1577,89.96,75,80,8.01
226,New Norfolk,AU,2022-07-13 01:05:53,-42.7826,147.0587,47.91,84,20,2.82
227,Marquette,US,2022-07-13 01:06:54,46.5333,-87.6335,54.84,82,55,3.71
228,Ola,RU,2022-07-13 01:06:54,59.5833,151.2833,77.14,89,82,7.05
229,Nuuk,GL,2022-07-13 01:06:55,64.1835,-51.7216,41.61,93,100,12.66
230,Fuerte Olimpo,PY,2022-07-13 01:06:55,-21.0415,-57.8738,60.33,74,18,3.11
231,Marawi,PH,2022-07-13 01:06:56,7.9986,124.2928,77.63,76,72,1.86
232,Gumdag,TM,2022-07-13 01:06:56,39.2061,54.5906,81.93,27,0,11.88
233,Jalu,LY,2022-07-13 01:06:56,29.0331,21.5482,75.43,68,0,9.42
234,Watrous,CA,2022-07-13 01:06:57,51.6668,-105.4679,79.32,47,6,4.74
235,Krasnoselkup,RU,2022-07-13 01:06:57,65.7,82.4667,50.68,55,26,14.34
236,Strangnas,SE,2022-07-13 01:06:58,59.3774,17.0312,64.38,84,100,5.86
237,Soe,ID,2022-07-13 01:06:58,-9.8607,124.284,66.81,70,96,6.49
238,Flin Flon,CA,2022-07-13 01:06:59,54.7682,-101.865,77.79,37,62,5.01
239,Roald,NO,2022-07-13 01:06:59,62.5833,6.1333,59.16,67,75,21.85
240,Castelo Do Piaui,BR,2022-07-13 01:07:00,-5.3222,-41.5525,78.85,61,98,3.83
